"name","BO","rand","repBO","repRand"
nGen-10_plotBudjetPerGen-200_he-0.7,570440,656527,703331,11259
nGen-10_plotBudjetPerGen-200_he-0.7,211405,662092,395529,133711
nGen-10_plotBudjetPerGen-200_he-0.7,379158,682516,600851,682087
nGen-10_plotBudjetPerGen-200_he-0.7,90652,211027,451327,784521
nGen-10_plotBudjetPerGen-200_he-0.7,792415,661351,299733,767050
nGen-10_plotBudjetPerGen-200_he-0.7,145079,613904,937852,486669
nGen-10_plotBudjetPerGen-200_he-0.7,529869,373735,649407,671840
nGen-10_plotBudjetPerGen-200_he-0.7,964092,257100,155266,588053
nGen-10_plotBudjetPerGen-200_he-0.7,335117,524709,47519,228637
nGen-10_plotBudjetPerGen-200_he-0.7,602846,781631,751226,821918
nGen-10_plotBudjetPerGen-200_he-0.7,712038,78376,146788,472578
nGen-10_plotBudjetPerGen-200_he-0.7,233882,853216,638393,962700
nGen-10_plotBudjetPerGen-200_he-0.7,775092,344581,60532,918966
nGen-10_plotBudjetPerGen-200_he-0.7,753319,939212,307445,656404
nGen-10_plotBudjetPerGen-200_he-0.7,446821,267857,757079,15668
nGen-10_plotBudjetPerGen-200_he-0.7,733232,41269,935359,208889
nGen-10_plotBudjetPerGen-200_he-0.7,338405,132634,857218,701347
nGen-10_plotBudjetPerGen-200_he-0.7,76593,188888,437220,737599
nGen-10_plotBudjetPerGen-200_he-0.7,560336,95387,598001,864730
nGen-10_plotBudjetPerGen-200_he-0.7,241078,541094,757613,820054
nGen-10_plotBudjetPerGen-200_he-0.7,978920,9205,840565,81116
nGen-10_plotBudjetPerGen-200_he-0.7,442934,300954,81963,266042
nGen-10_plotBudjetPerGen-200_he-0.7,922430,45186,110590,743310
nGen-10_plotBudjetPerGen-200_he-0.7,261031,558483,447868,823730
nGen-10_plotBudjetPerGen-200_he-0.7,44419,358119,478459,394676
nGen-10_plotBudjetPerGen-200_he-0.7,322980,261500,444068,983238
nGen-10_plotBudjetPerGen-200_he-0.7,504779,201678,807998,457531
nGen-10_plotBudjetPerGen-200_he-0.7,604575,745141,208984,607318
nGen-10_plotBudjetPerGen-200_he-0.7,9242,342461,693656,233175
nGen-10_plotBudjetPerGen-200_he-0.7,146045,437687,731714,869365
nGen-10_plotBudjetPerGen-200_he-0.7,161009,347505,643926,710549
nGen-10_plotBudjetPerGen-200_he-0.7,345829,83780,917703,521708
nGen-10_plotBudjetPerGen-200_he-0.7,628142,885620,840621,76538
nGen-10_plotBudjetPerGen-200_he-0.7,702837,455911,782103,233334
nGen-10_plotBudjetPerGen-200_he-0.7,735814,458772,695887,279419
nGen-10_plotBudjetPerGen-200_he-0.7,645199,835404,924928,608164
nGen-10_plotBudjetPerGen-200_he-0.7,429214,659527,251351,825440
nGen-10_plotBudjetPerGen-200_he-0.7,607872,870286,304315,191591
nGen-10_plotBudjetPerGen-200_he-0.7,907381,65550,466611,589087
nGen-10_plotBudjetPerGen-200_he-0.7,280085,186292,542437,57807
nGen-10_plotBudjetPerGen-200_he-0.7,644310,509027,105086,374372
nGen-10_plotBudjetPerGen-200_he-0.7,439604,784542,411712,754222
nGen-10_plotBudjetPerGen-200_he-0.7,269924,337832,241196,750870
nGen-10_plotBudjetPerGen-200_he-0.7,395513,719890,157065,324900
nGen-10_plotBudjetPerGen-200_he-0.7,234619,578551,212693,108780
nGen-10_plotBudjetPerGen-200_he-0.7,890812,770006,424713,372587
nGen-10_plotBudjetPerGen-200_he-0.7,958797,580302,339892,43933
nGen-10_plotBudjetPerGen-200_he-0.7,38156,516752,762608,8790
nGen-10_plotBudjetPerGen-200_he-0.7,125417,451465,169740,556439
nGen-10_plotBudjetPerGen-200_he-0.7,117844,989181,652739,791947
nGen-10_plotBudjetPerGen-200_he-0.7,54830,816509,357221,663438
nGen-10_plotBudjetPerGen-200_he-0.7,769255,726685,185345,270281
nGen-10_plotBudjetPerGen-200_he-0.7,246444,715602,498122,534123
nGen-10_plotBudjetPerGen-200_he-0.7,150595,472247,158633,946738
nGen-10_plotBudjetPerGen-200_he-0.7,594579,470688,957857,970046
nGen-10_plotBudjetPerGen-200_he-0.7,744023,174373,561994,65237
nGen-10_plotBudjetPerGen-200_he-0.7,81821,430600,115682,837710
nGen-10_plotBudjetPerGen-200_he-0.7,736742,346001,357604,753875
nGen-10_plotBudjetPerGen-200_he-0.7,224294,138562,685708,674177
nGen-10_plotBudjetPerGen-200_he-0.7,15407,14293,916533,75145
nGen-10_plotBudjetPerGen-200_he-0.7,955148,68941,831786,142407
nGen-10_plotBudjetPerGen-200_he-0.7,7067,24754,321913,535389
nGen-10_plotBudjetPerGen-200_he-0.7,889745,867781,683547,378497
nGen-10_plotBudjetPerGen-200_he-0.7,116325,740196,290568,140858
nGen-10_plotBudjetPerGen-200_he-0.7,835993,902621,678270,303311
nGen-10_plotBudjetPerGen-200_he-0.7,81589,924693,377539,686782
nGen-10_plotBudjetPerGen-200_he-0.7,236713,906269,803336,475088
nGen-10_plotBudjetPerGen-200_he-0.7,673490,361264,686555,800501
nGen-10_plotBudjetPerGen-200_he-0.7,880551,862394,79672,900614
nGen-10_plotBudjetPerGen-200_he-0.7,84781,674388,657067,415307
nGen-10_plotBudjetPerGen-200_he-0.7,148587,797617,532525,192451
nGen-10_plotBudjetPerGen-200_he-0.7,151427,255212,573688,29255
nGen-10_plotBudjetPerGen-200_he-0.7,492537,218937,76978,874550
nGen-10_plotBudjetPerGen-200_he-0.7,301723,288015,842554,757054
nGen-10_plotBudjetPerGen-200_he-0.7,465839,927326,974719,708472
nGen-10_plotBudjetPerGen-200_he-0.7,542533,530001,772811,22264
nGen-10_plotBudjetPerGen-200_he-0.7,203621,289371,924946,303985
nGen-10_plotBudjetPerGen-200_he-0.7,760678,772760,117144,260892
nGen-10_plotBudjetPerGen-200_he-0.7,54365,30662,367383,124965
nGen-10_plotBudjetPerGen-200_he-0.7,766158,391313,762371,189080
nGen-10_plotBudjetPerGen-200_he-0.7,873007,263469,570082,179279
nGen-10_plotBudjetPerGen-200_he-0.7,718565,732814,828351,205417
nGen-10_plotBudjetPerGen-200_he-0.7,813627,829395,73313,525498
nGen-10_plotBudjetPerGen-200_he-0.7,176307,709468,909677,700522
nGen-10_plotBudjetPerGen-200_he-0.7,244337,36169,126997,280933
nGen-10_plotBudjetPerGen-200_he-0.7,407613,359618,959074,487026
nGen-10_plotBudjetPerGen-200_he-0.7,521883,10050,219675,297508
nGen-10_plotBudjetPerGen-200_he-0.7,173303,746232,678140,442017
nGen-10_plotBudjetPerGen-200_he-0.7,800259,223298,250242,889862
nGen-10_plotBudjetPerGen-200_he-0.7,375777,743583,739582,508223
nGen-10_plotBudjetPerGen-200_he-0.7,907680,343834,481174,847567
nGen-10_plotBudjetPerGen-200_he-0.7,293695,171884,120553,346490
nGen-10_plotBudjetPerGen-200_he-0.7,538440,371865,879624,22272
nGen-10_plotBudjetPerGen-200_he-0.7,535264,317440,205077,826647
nGen-10_plotBudjetPerGen-200_he-0.7,586954,737563,584872,618105
nGen-10_plotBudjetPerGen-200_he-0.7,359364,271801,651436,802306
nGen-10_plotBudjetPerGen-200_he-0.7,850820,77968,978841,853229
nGen-10_plotBudjetPerGen-200_he-0.7,28356,510928,641584,50410
nGen-10_plotBudjetPerGen-200_he-0.7,847200,319905,461961,317484
nGen-10_plotBudjetPerGen-200_he-0.7,136165,449109,899892,188794
nGen-10_plotBudjetPerGen-200_he-0.7,238315,620817,672800,175520
nGen-10_plotBudjetPerGen-200_he-0.7,72342,380947,714320,789582
nGen-10_plotBudjetPerGen-200_he-0.7,408834,277050,204671,362149
nGen-10_plotBudjetPerGen-200_he-0.7,621387,667688,69095,45352
nGen-10_plotBudjetPerGen-200_he-0.7,360694,609459,841746,992473
nGen-10_plotBudjetPerGen-200_he-0.7,646956,730250,308674,453031
nGen-10_plotBudjetPerGen-200_he-0.7,10903,424184,745538,770207
nGen-10_plotBudjetPerGen-200_he-0.7,877925,593229,719202,913516
nGen-10_plotBudjetPerGen-200_he-0.7,811314,428648,578970,538356
nGen-10_plotBudjetPerGen-200_he-0.7,158453,584333,582420,180685
nGen-10_plotBudjetPerGen-200_he-0.7,432992,581426,928466,788828
nGen-10_plotBudjetPerGen-200_he-0.7,609092,833929,188550,480579
nGen-10_plotBudjetPerGen-200_he-0.7,522556,200831,95278,34550
nGen-10_plotBudjetPerGen-200_he-0.7,131320,853228,950978,141716
nGen-10_plotBudjetPerGen-200_he-0.7,733190,65907,209333,507213
nGen-10_plotBudjetPerGen-200_he-0.7,456305,54221,33637,954275
nGen-10_plotBudjetPerGen-200_he-0.7,175265,491906,651183,70053
nGen-10_plotBudjetPerGen-200_he-0.7,210789,55957,589152,339807
nGen-10_plotBudjetPerGen-200_he-0.7,536072,228903,789467,330649
nGen-10_plotBudjetPerGen-200_he-0.7,622879,612496,538607,331218
nGen-10_plotBudjetPerGen-200_he-0.7,911447,74990,768161,539885
nGen-10_plotBudjetPerGen-200_he-0.7,575418,899825,939358,898433
nGen-10_plotBudjetPerGen-200_he-0.7,317201,960445,449718,304909
nGen-10_plotBudjetPerGen-200_he-0.7,607228,769068,422379,791423
nGen-10_plotBudjetPerGen-200_he-0.7,882567,839671,275361,367363
nGen-10_plotBudjetPerGen-200_he-0.7,873226,322372,768965,401994
nGen-10_plotBudjetPerGen-200_he-0.7,646904,693325,830253,918485
nGen-10_plotBudjetPerGen-200_he-0.7,948768,466947,674613,480558
nGen-10_plotBudjetPerGen-200_he-0.7,973142,311997,583618,561964
nGen-10_plotBudjetPerGen-200_he-0.7,494648,101883,463889,41407
nGen-10_plotBudjetPerGen-200_he-0.7,238338,487410,468869,183245
nGen-10_plotBudjetPerGen-200_he-0.7,814311,586639,277910,983908
nGen-10_plotBudjetPerGen-200_he-0.7,543233,444487,705760,438248
nGen-10_plotBudjetPerGen-200_he-0.7,471095,909040,46351,384230
nGen-10_plotBudjetPerGen-200_he-0.7,908667,813566,646767,534391
nGen-10_plotBudjetPerGen-200_he-0.7,645487,619104,813536,598267
nGen-10_plotBudjetPerGen-200_he-0.7,485490,556747,920696,639918
nGen-10_plotBudjetPerGen-200_he-0.7,547799,605423,193755,94795
nGen-10_plotBudjetPerGen-200_he-0.7,246196,761,876831,938025
nGen-10_plotBudjetPerGen-200_he-0.7,233982,234469,945230,443566
nGen-10_plotBudjetPerGen-200_he-0.7,461606,441375,330232,195319
nGen-10_plotBudjetPerGen-200_he-0.7,646148,518537,775533,73897
nGen-10_plotBudjetPerGen-200_he-0.7,465104,260016,245412,177277
nGen-10_plotBudjetPerGen-200_he-0.7,248952,794936,574701,189148
nGen-10_plotBudjetPerGen-200_he-0.7,282908,464872,922775,604935
nGen-10_plotBudjetPerGen-200_he-0.7,308310,656491,13256,850360
nGen-10_plotBudjetPerGen-200_he-0.7,688852,558738,744613,243726
nGen-10_plotBudjetPerGen-200_he-0.7,921002,294678,876063,348934
nGen-10_plotBudjetPerGen-200_he-0.7,917587,787206,218862,331902
nGen-10_plotBudjetPerGen-200_he-0.7,244223,170666,503069,64590
nGen-10_plotBudjetPerGen-200_he-0.7,846464,13629,361985,914344
nGen-10_plotBudjetPerGen-200_he-0.7,570253,995460,373192,44976
nGen-10_plotBudjetPerGen-200_he-0.7,52135,921700,635101,251795
nGen-10_plotBudjetPerGen-200_he-0.7,707298,633343,54156,615710
nGen-10_plotBudjetPerGen-200_he-0.7,519588,37095,279957,646520
nGen-10_plotBudjetPerGen-200_he-0.7,606378,3963,99990,16345
nGen-10_plotBudjetPerGen-200_he-0.7,130547,156414,897994,554391
nGen-10_plotBudjetPerGen-200_he-0.7,408627,773377,396583,447531
nGen-10_plotBudjetPerGen-200_he-0.7,695581,382968,585552,55620
nGen-10_plotBudjetPerGen-200_he-0.7,479510,402318,637697,527904
nGen-10_plotBudjetPerGen-200_he-0.7,144105,375016,139328,127265
nGen-10_plotBudjetPerGen-200_he-0.7,475149,43609,170209,731572
nGen-10_plotBudjetPerGen-200_he-0.7,865942,1372,801984,370913
nGen-10_plotBudjetPerGen-200_he-0.7,20593,73579,683779,671372
nGen-10_plotBudjetPerGen-200_he-0.7,733101,468329,816001,928114
nGen-10_plotBudjetPerGen-200_he-0.7,126905,593389,261528,595786
nGen-10_plotBudjetPerGen-200_he-0.7,79546,413382,711291,808777
nGen-10_plotBudjetPerGen-200_he-0.7,780277,245635,102946,724292
nGen-10_plotBudjetPerGen-200_he-0.7,21881,803241,738611,107706
nGen-10_plotBudjetPerGen-200_he-0.7,975871,611735,404370,246578
nGen-10_plotBudjetPerGen-200_he-0.7,419773,676308,882426,539418
nGen-10_plotBudjetPerGen-200_he-0.7,836738,343583,414939,30108
nGen-10_plotBudjetPerGen-200_he-0.7,774020,294703,421478,248268
nGen-10_plotBudjetPerGen-200_he-0.7,729128,652831,958123,571316
nGen-10_plotBudjetPerGen-200_he-0.7,284313,406197,568335,890296
nGen-10_plotBudjetPerGen-200_he-0.7,293064,348674,436301,49945
nGen-10_plotBudjetPerGen-200_he-0.7,604803,279896,384010,452360
nGen-10_plotBudjetPerGen-200_he-0.7,898109,812839,992419,997077
nGen-10_plotBudjetPerGen-200_he-0.7,565500,435895,680303,703906
nGen-10_plotBudjetPerGen-200_he-0.7,45548,49320,202613,664195
nGen-10_plotBudjetPerGen-200_he-0.7,108819,264761,401947,689741
nGen-10_plotBudjetPerGen-200_he-0.7,301867,384753,125369,138045
nGen-10_plotBudjetPerGen-200_he-0.7,573720,735923,159148,561639
nGen-10_plotBudjetPerGen-200_he-0.7,854614,570333,528834,475594
nGen-10_plotBudjetPerGen-200_he-0.7,232078,814963,958029,112461
nGen-10_plotBudjetPerGen-200_he-0.7,611965,717635,438923,447678
nGen-10_plotBudjetPerGen-200_he-0.7,292084,559809,509912,467989
nGen-10_plotBudjetPerGen-200_he-0.7,519581,419897,591700,845373
nGen-10_plotBudjetPerGen-200_he-0.7,309412,50207,57034,860611
nGen-10_plotBudjetPerGen-200_he-0.7,879820,657849,413526,232365
nGen-10_plotBudjetPerGen-200_he-0.7,158034,218968,484642,957170
nGen-10_plotBudjetPerGen-200_he-0.7,995635,569984,843399,529670
nGen-10_plotBudjetPerGen-200_he-0.7,696752,234159,352727,546031
nGen-10_plotBudjetPerGen-200_he-0.7,246782,418127,873811,944810
nGen-10_plotBudjetPerGen-200_he-0.7,360973,159544,944565,524141
nGen-10_plotBudjetPerGen-200_he-0.7,302599,988328,231469,446913
nGen-10_plotBudjetPerGen-200_he-0.7,999325,778197,690920,34849
nGen-10_plotBudjetPerGen-200_he-0.7,513404,545353,517747,25343
nGen-10_plotBudjetPerGen-200_he-0.7,97196,214681,582045,23217
nGen-10_plotBudjetPerGen-200_he-0.7,704052,634221,491300,724607
nGen-10_plotBudjetPerGen-200_he-0.7,351580,42,485496,901387
nGen-10_plotBudjetPerGen-200_he-0.7,434962,765702,522910,505201
nGen-10_plotBudjetPerGen-200_he-0.7,735843,210235,110210,554409
nGen-10_plotBudjetPerGen-200_he-0.7,838637,129195,919614,36278
nGen-10_plotBudjetPerGen-200_he-0.7,67583,851164,294917,802965
nGen-10_plotBudjetPerGen-200_he-0.7,730270,714721,74569,137630
nGen-10_plotBudjetPerGen-200_he-0.7,340011,111423,497716,860553
nGen-10_plotBudjetPerGen-200_he-0.7,580863,628275,135335,94035
nGen-10_plotBudjetPerGen-200_he-0.7,686538,174340,402150,577894
nGen-10_plotBudjetPerGen-200_he-0.7,258859,482628,162583,479327
nGen-10_plotBudjetPerGen-200_he-0.7,463570,853178,399859,489371
nGen-10_plotBudjetPerGen-200_he-0.7,152268,997759,77994,467251
nGen-10_plotBudjetPerGen-200_he-0.7,611635,680947,752174,955311
nGen-10_plotBudjetPerGen-200_he-0.7,887802,246947,231488,423312
nGen-10_plotBudjetPerGen-200_he-0.7,162358,670801,621981,518975
nGen-10_plotBudjetPerGen-200_he-0.7,838880,742934,896889,452950
nGen-10_plotBudjetPerGen-200_he-0.7,333191,904722,788125,283421
nGen-10_plotBudjetPerGen-200_he-0.7,775373,380100,522411,663081
nGen-10_plotBudjetPerGen-200_he-0.7,72910,353110,719099,590962
nGen-10_plotBudjetPerGen-200_he-0.7,581159,610778,462292,318221
nGen-10_plotBudjetPerGen-200_he-0.7,294719,303967,562772,627277
nGen-10_plotBudjetPerGen-200_he-0.7,993231,415431,30540,990183
nGen-10_plotBudjetPerGen-200_he-0.7,488653,765946,689559,753229
nGen-10_plotBudjetPerGen-200_he-0.7,268077,457172,288700,621477
nGen-10_plotBudjetPerGen-200_he-0.7,57380,673738,537903,111581
nGen-10_plotBudjetPerGen-200_he-0.7,762724,698806,175994,922491
nGen-10_plotBudjetPerGen-200_he-0.7,725342,197848,7075,938293
nGen-10_plotBudjetPerGen-200_he-0.7,793212,980586,637805,563475
nGen-10_plotBudjetPerGen-200_he-0.7,23694,994000,316927,526619
nGen-10_plotBudjetPerGen-200_he-0.7,422697,350333,755188,365723
nGen-10_plotBudjetPerGen-200_he-0.7,266162,810483,176840,66932
nGen-10_plotBudjetPerGen-200_he-0.7,547213,895398,502052,692085
nGen-10_plotBudjetPerGen-200_he-0.7,571050,144307,22425,271573
nGen-10_plotBudjetPerGen-200_he-0.7,812611,206791,58093,833401
nGen-10_plotBudjetPerGen-200_he-0.7,646592,274423,978236,108801
nGen-10_plotBudjetPerGen-200_he-0.7,782305,882860,755438,936166
nGen-10_plotBudjetPerGen-200_he-0.7,552274,858772,178707,813382
nGen-10_plotBudjetPerGen-200_he-0.7,315262,80358,209876,719779
nGen-10_plotBudjetPerGen-200_he-0.7,355046,358230,25781,748966
nGen-10_plotBudjetPerGen-200_he-0.7,236195,395974,506130,475225
nGen-10_plotBudjetPerGen-200_he-0.7,40753,66570,747292,881621
nGen-10_plotBudjetPerGen-200_he-0.7,156254,518143,237377,371120
nGen-10_plotBudjetPerGen-200_he-0.7,809558,344387,465811,245845
nGen-10_plotBudjetPerGen-200_he-0.7,887662,938449,725064,354988
nGen-10_plotBudjetPerGen-200_he-0.7,812351,16586,555209,285721
nGen-10_plotBudjetPerGen-200_he-0.7,367791,359632,44824,836749
nGen-10_plotBudjetPerGen-200_he-0.7,720683,637381,554967,413610
nGen-10_plotBudjetPerGen-200_he-0.7,666821,93167,182008,480433
nGen-10_plotBudjetPerGen-200_he-0.7,466327,252957,819673,511165
nGen-10_plotBudjetPerGen-200_he-0.7,241545,745663,570178,878756
nGen-10_plotBudjetPerGen-200_he-0.7,222778,340320,179774,793117
nGen-10_plotBudjetPerGen-200_he-0.7,114348,163816,907101,564041
nGen-10_plotBudjetPerGen-200_he-0.7,452297,329462,957417,803020
nGen-10_plotBudjetPerGen-200_he-0.7,975044,974171,712478,287755
nGen-10_plotBudjetPerGen-200_he-0.7,139713,763259,949342,518361
nGen-10_plotBudjetPerGen-200_he-0.7,943696,447187,623521,457154
nGen-10_plotBudjetPerGen-200_he-0.7,508359,990751,901036,150228
nGen-10_plotBudjetPerGen-200_he-0.7,241999,215177,893270,14576
nGen-10_plotBudjetPerGen-200_he-0.7,397,867094,371647,37699
nGen-10_plotBudjetPerGen-200_he-0.7,634615,321408,310283,715456
nGen-10_plotBudjetPerGen-200_he-0.7,198778,770185,756373,223295
nGen-10_plotBudjetPerGen-200_he-0.7,213842,696364,213505,544535
nGen-10_plotBudjetPerGen-200_he-0.7,980400,303745,823171,890505
nGen-10_plotBudjetPerGen-200_he-0.7,607230,538459,870458,543299
nGen-10_plotBudjetPerGen-200_he-0.7,105226,472539,921151,255371
nGen-10_plotBudjetPerGen-200_he-0.7,35232,811283,668652,144891
nGen-10_plotBudjetPerGen-200_he-0.7,311421,212683,257353,45350
nGen-10_plotBudjetPerGen-200_he-0.7,202615,293924,774537,694783
nGen-10_plotBudjetPerGen-200_he-0.7,4604,945340,484741,15060
nGen-10_plotBudjetPerGen-200_he-0.7,900027,402764,641325,865019
nGen-10_plotBudjetPerGen-200_he-0.7,477482,71642,82774,478169
nGen-10_plotBudjetPerGen-200_he-0.7,536916,987785,496633,638962
nGen-10_plotBudjetPerGen-200_he-0.7,660903,615354,676207,895090
nGen-10_plotBudjetPerGen-200_he-0.7,446490,263050,885942,94802
nGen-10_plotBudjetPerGen-200_he-0.7,252266,9845,930440,206534
nGen-10_plotBudjetPerGen-200_he-0.7,195902,341870,254617,746459
nGen-10_plotBudjetPerGen-200_he-0.7,23362,755951,808433,881150
nGen-10_plotBudjetPerGen-200_he-0.7,848352,576378,559994,991194
nGen-10_plotBudjetPerGen-200_he-0.7,588442,830250,640410,747254
nGen-10_plotBudjetPerGen-200_he-0.7,452745,146753,643289,407003
nGen-10_plotBudjetPerGen-200_he-0.7,333438,685206,797736,308367
nGen-10_plotBudjetPerGen-200_he-0.7,703170,678612,86469,769604
nGen-10_plotBudjetPerGen-200_he-0.7,420814,12743,319190,70543
nGen-10_plotBudjetPerGen-200_he-0.7,436079,135185,878733,464793
nGen-10_plotBudjetPerGen-200_he-0.7,149689,759718,720458,865492
nGen-10_plotBudjetPerGen-200_he-0.7,504353,339420,879190,549204
nGen-10_plotBudjetPerGen-200_he-0.7,715990,197027,471578,844591
nGen-10_plotBudjetPerGen-200_he-0.7,299404,281055,1872,417961
nGen-10_plotBudjetPerGen-200_he-0.7,156446,135803,707893,359914
nGen-10_plotBudjetPerGen-200_he-0.7,837736,563077,677414,938203
nGen-10_plotBudjetPerGen-200_he-0.7,106607,677305,298077,784693
nGen-10_plotBudjetPerGen-200_he-0.7,74714,498431,355119,477715
nGen-10_plotBudjetPerGen-200_he-0.7,936275,270287,452503,493462
nGen-10_plotBudjetPerGen-200_he-0.7,234694,799059,559015,954276
nGen-10_plotBudjetPerGen-200_he-0.7,413681,689850,977828,378922
nGen-10_plotBudjetPerGen-200_he-0.7,563930,146679,189237,698171
nGen-10_plotBudjetPerGen-200_he-0.7,340529,547042,504121,310952
nGen-10_plotBudjetPerGen-200_he-0.7,143036,670319,920476,917932
nGen-10_plotBudjetPerGen-200_he-0.7,165042,953563,57883,566530
nGen-10_plotBudjetPerGen-200_he-0.7,808703,974810,464634,102220
nGen-10_plotBudjetPerGen-200_he-0.7,548940,621131,801852,258998
nGen-10_plotBudjetPerGen-200_he-0.7,317719,986454,211170,525392
nGen-10_plotBudjetPerGen-200_he-0.7,781890,548209,623123,303829
nGen-10_plotBudjetPerGen-200_he-0.7,403386,573028,757685,95513
nGen-10_plotBudjetPerGen-200_he-0.7,483583,56899,911374,517807
nGen-10_plotBudjetPerGen-200_he-0.7,163987,161788,115076,962857
nGen-10_plotBudjetPerGen-200_he-0.7,548173,663279,404150,813408
